Datum;SLPsyn_H [MWh];SLPsyn_L [MWh];SLPana_H [MWh];SLPana_L [MWh];RLMmT_H [MWh];RLMmT_L [MWh];RLMoT_H [MWh];RLMoT_L [MWh]
03.10.2020;119278;44721;52224;2182;563750;65973;30132;365
04.10.2020;137295;53335;51226;2252;561685;69526;30979;361
05.10.2020;168666;61027;47201;2716;687288;88036;39032;460
06.10.2020;176044;62671;53963;2744;677721;87600;39459;457
07.10.2020;185428;62692;63980;2895;714786;87072;47874;444
08.10.2020;184732;63733;65806;2906;676206;90669;42653;466
09.10.2020;181685;66010;66086;2993;726772;87811;39249;473
10.10.2020;211257;76286;70529;3762;626366;74563;43367;412
11.10.2020;255695;86286;68426;3594;647250;72398;46292;441
12.10.2020;279362;87060;78622;3644;817058;90667;62119;549
13.10.2020;301106;91548;90831;3760;797919;93129;61761;471
14.10.2020;300627;94315;93425;3897;739179;95345;58860;454
15.10.2020;292112;94619;93924;4082;810397;96379;61755;446
16.10.2020;288036;95501;97670;4235;817125;91698;64067;454
17.10.2020;289879;94501;96363;4521;706931;78113;57783;413
18.10.2020;296606;96104;94775;4354;685568;75976;59338;393
19.10.2020;304139;98011;93293;4468;800693;92847;65908;482
20.10.2020;268793;86307;100556;4246;729367;92723;62901;473
21.10.2020;193864;64141;100312;3799;678167;87615;55692;400
22.10.2020;153256;54672;97804;3229;677251;85042;46217;413
23.10.2020;162092;59468;84477;3291;721113;83887;50341;425
24.10.2020;166117;67270;69068;3275;629057;72083;45051;375
25.10.2020;165399;63193;69443;3088;607473;67978;46584;388
26.10.2020;214985;83030;71404;3170;731385;89633;53207;423
27.10.2020;247548;91940;75335;3928;724374;93165;54395;402
28.10.2020;245262;87391;84403;3863;723127;93556;46020;389
29.10.2020;251932;87030;91450;3988;728794;93913;47315;472
30.10.2020;219101;73101;89878;3759;692576;87776;53625;401
31.10.2020;190071;61906;92687;3544;608869;71195;48278;372
01.11.2020;178010;61359;85051;3573;594415;67441;43553;338
02.11.2020;136839;51208;72105;2884;650093;80700;46526;415
03.11.2020;189841;73754;73985;3654;738124;89414;54350;422
04.11.2020;268072;96196;63104;3740;820563;93967;62834;472
05.11.2020;313325;107827;81130;4204;848099;93808;58610;426
06.11.2020;323299;108356;100317;4660;827637;89446;62610;438
07.11.2020;340028;106497;107937;4577;714575;76759;64837;437
08.11.2020;346155;106043;103347;4400;708255;75269;69165;448
09.11.2020;367710;107674;104852;4672;880723;95344;71057;491
10.11.2020;396684;124008;113657;4657;921664;99778;70669;497
11.11.2020;374975;110310;123285;4871;882553;94510;71875;457
12.11.2020;345474;105668;127848;4923;852387;93007;66519;520
13.11.2020;323045;102242;124293;4915;812181;87291;65783;521
14.11.2020;269308;88339;117006;4470;669214;68675;54971;338
15.11.2020;239552;77397;106810;3831;638911;67435;49892;350
16.11.2020;257356;88618;93072;4059;755844;88823;64251;432
17.11.2020;265990;92563;94873;4200;755130;89856;67011;459
18.11.2020;259692;90690;100446;4364;731081;88965;65494;432
19.11.2020;297292;103862;100810;4403;787450;95787;78664;454
20.11.2020;392329;132003;100842;4791;910895;97337;88265;554
21.11.2020;408697;133095;117208;5506;745800;78213;76461;470
22.11.2020;378324;118189;137444;5276;722513;75799;70604;396
23.11.2020;396156;125271;136808;5747;887153;95774;76889;438
24.11.2020;426197;133909;126349;6044;908523;99025;82461;449
25.11.2020;452479;138108;133957;5741;948006;100163;83200;527
26.11.2020;438265;129790;144262;5884;975109;99288;75124;489
27.11.2020;446149;132287;156314;5833;949450;94556;75876;482
28.11.2020;481435;146361;148031;6038;855110;82938;78348;468
29.11.2020;525601;170162;145752;6579;863923;83610;79525;545
30.11.2020;561433;184214;155480;7084;946382;107897;82540;525
01.12.2020;534151;163391;159713;6474;961489;105275;79947;419
02.12.2020;561775;164221;170718;6851;982899;108131;93257;425
03.12.2020;584126;171739;167302;7150;956195;104379;90423;404
04.12.2020;561133;161374;178151;7008;937657;99111;86099;399
05.12.2020;527060;162989;184900;7261;871269;83431;78625;393
06.12.2020;496381;165638;176469;7919;850469;80741;72092;381
07.12.2020;482406;162218;161309;7083;919233;101030;80331;418
08.12.2020;498285;170133;145959;6904;933254;105609;75117;408
09.12.2020;510428;174831;149536;7631;964123;109796;79172;448
10.12.2020;545336;180348;156163;8230;993271;110141;87482;409
11.12.2020;558916;180068;158815;7823;934505;102310;92401;396
12.12.2020;521864;171983;176393;6924;826980;84871;88077;372
13.12.2020;488496;147178;175576;6967;813560;81600;85251;351
14.12.2020;454771;140791;164321;6324;897634;98449;82324;399
15.12.2020;406497;124015;155708;6271;888400;97070;80094;385
16.12.2020;389343;126637;147441;6195;860570;93186;74278;372
17.12.2020;388272;122420;139897;5807;853435;94726;76098;384
18.12.2020;403440;128352;132635;5853;833148;91960;76234;584
19.12.2020;405099;125317;137457;5635;773906;79360;76726;346
20.12.2020;404809;118385;139808;5461;771232;76429;75789;344
21.12.2020;409576;126555;143309;5432;781955;87469;70109;348
22.12.2020;337787;110210;141024;5274;739844;83498;59803;371
23.12.2020;347758;117698;140271;5564;740785;74815;66915;360
24.12.2020;384239;130729;124188;5556;693350;59120;68945;306
25.12.2020;481908;162461;129082;6014;731304;61268;77025;308
26.12.2020;529124;172220;138328;6729;708725;61021;71216;304
27.12.2020;528892;168756;152828;6197;712816;68108;62639;327
28.12.2020;540071;169841;162054;6936;815961;78296;80766;356
29.12.2020;547157;176591;169412;7593;823567;79693;85996;320
30.12.2020;529291;170849;165162;7218;816345;76982;85560;312
31.12.2020;527019;169412;166067;7238;791966;67255;84400;253
01.01.2021;542651;179706;164856;7655;781761;65355;80167;335
02.01.2021;551158;175471;163072;7436;807812;75781;83152;374
03.01.2021;559364;177617;160543;7171;808178;83420;91927;384
04.01.2021;576567;183927;164572;7441;941587;106444;91661;428
05.01.2021;581553;188398;174094;7518;967145;112207;86417;429
06.01.2021;586714;191048;183426;8168;966957;112140;87034;447
07.01.2021;592963;192283;180358;8068;990636;112040;90531;479
08.01.2021;595231;193190;180073;8192;992668;111229;94102;495
09.01.2021;595616;192319;184737;8315;908104;95504;88104;464
10.01.2021;598321;188702;181145;8224;887460;89394;88391;466
11.01.2021;591864;181625;176504;7808;943797;108955;90149;473
12.01.2021;556091;171478;179428;7193;918699;108808;90371;495
13.01.2021;575933;177754;185274;8117;924946;112690;94516;501
14.01.2021;604480;195889;183767;8784;1041108;116756;98434;528
15.01.2021;630918;202368;191290;9195;1054481;111010;104246;542
16.01.2021;649653;202708;189884;9432;956852;90670;103902;508
17.01.2021;661054;203750;195477;8901;955013;87781;105321;521
18.01.2021;621208;186948;194995;8567;946055;101864;97287;483
19.01.2021;556129;162510;196978;7591;888743;99197;83911;474
20.01.2021;473153;144619;188997;6707;827332;94705;69452;418
21.01.2021;409798;133504;174670;6681;807185;93523;65710;472
22.01.2021;409328;141679;154598;6509;887670;92587;74728;495
23.01.2021;475359;162004;142194;7254;838516;80541;83562;477
24.01.2021;541925;178714;150414;7846;867311;81595;90291;505
25.01.2021;591422;194072;164590;8177;991636;103974;91686;515
26.01.2021;600606;189038;169828;7853;977538;102681;90112;525
27.01.2021;588550;184784;179291;8165;979486;100474;92856;534
28.01.2021;572357;185446;181400;8031;966095;100652;95254;534
29.01.2021;578833;194480;175976;7304;912545;97447;101175;521
30.01.2021;594575;196647;179490;8472;905869;84068;98761;467
31.01.2021;644705;214674;187171;8726;907984;87132;92191;467
01.02.2021;665634;220357;195966;8831;1031395;107822;92836;528
02.02.2021;613171;204398;200846;8431;937611;103990;87696;506
03.02.2021;533344;175628;202024;7225;868461;98233;80437;491
04.02.2021;500968;156476;184118;6498;933266;99614;88302;533
05.02.2021;537530;178903;169569;6965;932287;99012;94212;506
06.02.2021;581459;196894;178589;7443;896697;90206;96779;515
07.02.2021;682406;228217;190980;8399;956610;94080;105641;376
08.02.2021;762349;251691;208113;10367;1106524;115893;110115;525
09.02.2021;799470;257300;238317;12166;1155671;120684;110880;546
10.02.2021;815113;253130;255913;12338;1159839;123805;107223;466
11.02.2021;813681;254414;255291;11250;1150912;124596;106420;475
12.02.2021;811651;257815;250007;12454;1152428;118535;106086;527
13.02.2021;787266;251627;242411;12149;1067448;102725;103216;560
14.02.2021;778074;247042;239866;11364;995464;99079;103094;498
15.02.2021;729746;222853;236396;10239;1055200;110442;98037;520
16.02.2021;615226;186207;230672;9224;980848;99899;85609;525
17.02.2021;510400;150226;220523;8059;905160;95586;82746;509
18.02.2021;449336;133629;186207;7039;872983;92717;74501;470
19.02.2021;415624;132709;167275;6777;855280;87930;76334;520
20.02.2021;349241;105697;144255;5966;745560;68179;62661;453
21.02.2021;319789;94960;139996;5038;729248;67123;62614;412
22.02.2021;326022;93078;127738;4838;826474;86794;67063;504
23.02.2021;276757;82645;116516;4283;757510;83350;51613;445
24.02.2021;229228;74506;116767;4209;744071;81011;45150;467
25.02.2021;232127;78133;104940;3641;777563;80059;45684;514
26.02.2021;309770;107922;94163;4698;821240;83417;56210;443
27.02.2021;374292;124816;93021;4715;766344;71676;68650;499
28.02.2021;411114;134080;116861;5320;762734;74052;69034;501
01.03.2021;456187;147260;133065;5746;895578;95990;73470;530
02.03.2021;446087;139968;140111;5643;920297;93479;68901;516
03.03.2021;422049;129008;141726;5808;891275;92435;60964;530
04.03.2021;443130;142329;143156;6111;928092;98281;79474;519
05.03.2021;519702;166623;132254;6200;943803;94560;80672;536
06.03.2021;525134;162379;153473;6761;836087;79869;78417;572
07.03.2021;526081;163813;157957;7072;845029;79187;80624;528
08.03.2021;551304;166571;161263;7156;995954;95598;81270;520
09.03.2021;555317;167581;164478;7024;994114;101158;79841;528
10.03.2021;511264;153642;160918;6502;879308;95430;69709;442
11.03.2021;432631;137518;161623;6088;798711;88491;58983;425
12.03.2021;399663;128554;151604;6095;788311;88368;54080;498
13.03.2021;396076;133489;142325;6495;719964;74871;48025;481
14.03.2021;416045;134826;138246;6141;738410;76619;59883;505
15.03.2021;447559;141763;142168;6406;844674;98456;77890;524
16.03.2021;466695;142685;145375;6535;900550;100842;84188;515
17.03.2021;491820;148472;149114;6897;956011;102051;84987;555
18.03.2021;526669;158817;152897;7195;971742;103531;85452;512
19.03.2021;556933;167208;158383;7138;921532;97784;93411;517
20.03.2021;560306;164123;158225;7244;833377;78422;85110;486
21.03.2021;495557;147907;167724;7064;805612;75142;80421;437
22.03.2021;475507;139149;159453;6095;940639;92702;69787;465
23.03.2021;424250;125859;147775;6468;945679;92812;71602;475
24.03.2021;371150;109293;138296;5922;879622;87863;66132;490
25.03.2021;338027;101271;136628;5359;835121;87956;57510;530
26.03.2021;292761;91434;118315;4506;732595;80416;53579;373
27.03.2021;318880;108955;101588;4703;689209;71418;57700;391
28.03.2021;326959;106967;96642;4504;689176;69318;53954;418
29.03.2021;260686;82385;113439;4641;732069;83236;48398;426
30.03.2021;208362;65045;107962;4184;773653;81273;43583;442
31.03.2021;174233;56365;85666;3415;761945;75247;42116;375
01.04.2021;201612;69704;79046;2895;717592;73780;47479;463
02.04.2021;288623;97609;64461;3305;667212;61873;57008;402
03.04.2021;348768;109341;83255;2670;659846;60843;57629;414
04.04.2021;378616;110999;103341;3700;642719;56439;48190;422
05.04.2021;435375;137470;112032;3820;713909;67346;50408;385
06.04.2021;510050;159484;118354;4755;845727;95525;67789;447
07.04.2021;512579;156834;134055;6528;857521;98573;68538;419
08.04.2021;494592;151036;152959;6739;863769;99390;67635;445
09.04.2021;425898;126903;153341;6865;824403;90316;62399;472
10.04.2021;379539;121914;145134;6431;780039;73727;63815;467
11.04.2021;329501;124682;121731;5981;734752;74403;53722;479
12.04.2021;395228;136613;119942;5527;895286;97426;65911;476
13.04.2021;427586;139176;110253;6440;872769;97862;66469;484
14.04.2021;451052;141228;133278;6307;919804;96205;70967;459
15.04.2021;457882;136203;132279;6159;893510;94487;72791;456
16.04.2021;423543;122798;131501;5982;850438;87701;56935;447
17.04.2021;387301;108095;131833;5483;732610;71164;49190;447
18.04.2021;336959;94431;118865;4933;727118;66458;48447;362
19.04.2021;293936;81166;106027;4892;815488;84107;41819;429
20.04.2021;268292;76069;105361;3944;779540;84010;37580;443
21.04.2021;276544;87960;96466;3996;706313;86970;38934;491
22.04.2021;320363;97842;83804;4393;725089;90181;47057;492
23.04.2021;325098;100472;86149;4808;714125;87487;46838;465
24.04.2021;322908;97745;101866;4402;667706;70894;45918;452
25.04.2021;341711;101509;99002;4290;683218;66971;47566;438
26.04.2021;360751;104193;102644;4395;776103;86806;50716;395
27.04.2021;353718;99649;105810;4474;751481;89875;45632;407
28.04.2021;291264;82010;109636;4208;721939;84035;37480;444
29.04.2021;253654;76847;97448;3590;741546;82724;42164;468
30.04.2021;265409;80941;81486;3999;777587;74668;47293;467
01.05.2021;263756;77745;88172;3681;642481;58266;44333;431
02.05.2021;294929;90304;95492;4022;668603;64428;48806;368
03.05.2021;305355;90533;89521;3964;717152;82042;46975;411
04.05.2021;289821;89374;98413;4608;699492;86354;40324;299
05.05.2021;307150;94950;98617;4022;744859;90637;45035;331
06.05.2021;317869;98086;99622;4747;791276;89553;46618;463
07.05.2021;337681;99144;110353;4814;761142;85977;50434;459
08.05.2021;282503;81473;102072;4289;637280;67084;40781;377
09.05.2021;146084;44107;105891;3115;552315;57516;24141;375
10.05.2021;96613;30930;81150;2441;627988;71200;25233;309
11.05.2021;101228;36582;45317;1984;661596;77214;22653;333
12.05.2021;131829;44573;35818;1726;657442;75065;30953;396
13.05.2021;174921;52495;40934;2206;621059;61187;36972;348
14.05.2021;192907;56033;52184;2357;660461;66129;39061;391
15.05.2021;192186;56749;64430;2446;617855;60547;28642;348
16.05.2021;197933;60114;69645;2451;610054;57452;27986;336
17.05.2021;198001;61309;60161;2682;665194;72818;30538;328
18.05.2021;200232;61848;60043;2613;675426;77089;36503;333
19.05.2021;204942;62974;58783;2739;676061;80695;31993;345
20.05.2021;198220;58494;66022;2735;664573;79265;27942;319
21.05.2021;170992;52553;58482;2503;630637;72236;23473;309
22.05.2021;175572;54645;57158;2491;564630;57032;23742;349
23.05.2021;179563;55582;52491;2717;553580;52365;25346;314
24.05.2021;153340;51347;58296;2977;555023;56077;20563;315
25.05.2021;180393;58506;59156;3077;667729;79150;28134;334
26.05.2021;196782;62707;49039;3046;669108;80474;27317;328
27.05.2021;203605;60812;60744;3325;687414;81683;28941;346
28.05.2021;187996;51976;61222;3123;666680;77856;29053;320
29.05.2021;170136;47617;65009;3181;601976;62098;25310;290
30.05.2021;143913;40563;59677;2482;577450;57961;23434;286
31.05.2021;128959;35013;54794;2150;626737;74433;22662;286
01.06.2021;110310;28381;47295;1646;613404;74619;20810;223
02.06.2021;91085;25166;39994;1292;582792;74302;20319;260
03.06.2021;70231;20341;34556;1056;573915;72302;19549;241
04.06.2021;62741;19893;30918;955;571362;68695;19369;228
05.06.2021;60568;19869;25364;1006;525269;54534;14020;239
06.06.2021;63227;23230;24612;963;529609;54900;12863;239
07.06.2021;68763;26241;23185;1086;641664;71787;15573;269
08.06.2021;68206;24122;23805;1332;635542;72074;16894;287
09.06.2021;66310;21405;23343;1159;632442;71045;15602;291
10.06.2021;62403;19269;22386;1085;630012;71371;15946;268
11.06.2021;58366;18006;21752;925;583899;67352;14015;251
12.06.2021;64807;19994;20717;777;497908;56296;11383;290
13.06.2021;77717;22533;20393;910;508763;55588;12050;277
14.06.2021;69094;20201;22449;1009;576098;70707;16563;267
15.06.2021;67791;20593;27160;973;641702;73069;16355;272
16.06.2021;57937;17367;22820;829;636132;69746;18378;231
17.06.2021;46172;13832;21122;730;609760;68189;14440;179
18.06.2021;41936;12733;19885;799;591173;65760;15684;168
19.06.2021;41168;12847;17869;675;489340;53074;13135;191
20.06.2021;42378;14142;17154;687;480507;52325;13766;181
21.06.2021;48311;18279;16577;676;586484;69917;17602;291
22.06.2021;63754;24460;17704;797;661560;73704;18402;291
23.06.2021;70752;26042;19134;946;674009;73669;18987;269
24.06.2021;73829;25567;21690;999;686792;72181;18446;292
25.06.2021;76597;24032;22284;988;648689;68459;15343;271
26.06.2021;66006;19579;22701;886;527934;54904;11436;244
27.06.2021;58015;18000;21232;780;516927;51926;11932;222
28.06.2021;50612;15333;19657;783;642177;65697;21607;207
29.06.2021;52495;16998;18717;774;672813;70221;19388;241
30.06.2021;59854;21268;18292;809;689480;71099;18055;258
01.07.2021;72164;24144;18512;880;704631;71890;21361;284
02.07.2021;72187;22301;20880;904;664348;67913;16472;257
03.07.2021;65650;19114;23758;892;538356;54260;14216;233
04.07.2021;61726;18912;21308;951;531480;52894;13888;218
05.07.2021;63517;19527;19798;886;649904;68584;17726;198
06.07.2021;58034;18197;19027;853;587327;67084;17158;181
07.07.2021;58565;17179;19350;744;680025;68265;16902;194
08.07.2021;60896;17471;18806;852;710630;66698;17364;220
09.07.2021;64943;18773;20011;860;658309;65551;16521;195
10.07.2021;62128;17750;19882;815;534477;56984;16206;196
11.07.2021;62217;18313;22112;933;534960;54026;15243;199
12.07.2021;56636;17160;20454;846;634667;65751;16917;198
13.07.2021;52541;15810;18719;813;646856;66484;16728;200
14.07.2021;53903;16195;18003;743;632688;68851;16776;225
15.07.2021;54436;16525;17401;746;613874;70559;16860;237
16.07.2021;55336;17380;18144;825;573231;65335;17019;318
17.07.2021;52523;15834;17957;805;491520;52134;14139;218
18.07.2021;54510;15900;17420;830;499510;51498;13326;212
19.07.2021;63365;18489;17280;878;601172;67876;17524;233
20.07.2021;68742;19987;17708;871;613295;69716;16098;236
21.07.2021;67476;19372;19700;856;611736;68894;16324;204
22.07.2021;66520;18822;20713;863;583739;66265;15412;229
23.07.2021;63917;18647;20412;842;563956;63287;15813;261
24.07.2021;54723;16232;19893;831;490826;52723;14265;235
25.07.2021;52408;15580;19140;746;493501;49592;12087;239
26.07.2021;51784;14992;16980;707;567713;60030;16592;192
27.07.2021;52678;16329;16957;744;573349;61736;15023;232
28.07.2021;54940;17117;17148;730;548683;61459;13727;255
29.07.2021;60082;18413;17810;712;533001;60934;13709;236
30.07.2021;60870;18821;18060;808;518578;58729;13513;237
31.07.2021;62529;19333;19527;877;489450;51204;11817;230
01.08.2021;68970;20798;19489;896;507427;49436;14214;204
02.08.2021;76390;22727;19900;928;561068;61197;17232;424
03.08.2021;80904;23834;21738;978;565198;61636;15774;275
04.08.2021;77260;21956;23196;955;573547;62221;16488;271
05.08.2021;75575;20777;23219;896;566557;60339;16443;262
06.08.2021;71152;20655;22423;997;537636;56571;16821;254
07.08.2021;67537;20164;21894;951;501466;47583;17881;260
08.08.2021;69272;20210;21155;952;492337;45863;16023;275
09.08.2021;72250;21474;20681;897;544367;57122;25625;321
10.08.2021;73644;22216;22460;1000;572342;56243;30339;278
11.08.2021;70241;20242;23011;1015;566346;56915;29333;289
12.08.2021;61392;17617;23024;842;559669;55880;20946;256
13.08.2021;55581;15963;22779;843;539045;53053;16829;229
14.08.2021;55430;15775;20589;809;489199;45603;15056;258
15.08.2021;55489;16155;19092;744;493837;43406;14944;231
16.08.2021;70133;21009;19155;860;560322;60417;18039;274
17.08.2021;84584;24590;21127;948;568197;63046;20741;276
18.08.2021;84172;24041;22863;1056;574232;64570;27191;284
19.08.2021;79951;22510;26840;1035;589961;63324;25665;256
20.08.2021;76634;21435;26259;1083;568251;61111;28212;273
21.08.2021;69291;19023;25103;965;510494;48026;25490;255
22.08.2021;71377;20421;25294;1025;506304;47642;24964;268
23.08.2021;77301;21221;23223;869;558839;63677;28306;259
24.08.2021;83960;21499;25161;1014;576100;65190;28766;275
25.08.2021;88128;22870;28238;996;558549;65253;33729;273
26.08.2021;99605;24500;28820;1109;578191;67791;34928;168
27.08.2021;111739;26842;30034;1359;562876;65849;26262;109
28.08.2021;109522;26844;33413;1197;504409;50956;22393;105
29.08.2021;102429;25141;34161;1272;507474;49489;22967;125
30.08.2021;97993;24464;33504;1214;577407;67325;27561;129
31.08.2021;95386;23598;34871;1380;574536;67803;31408;117
01.09.2021;90090;23310;35098;1467;588067;66935;28699;124
02.09.2021;87691;23884;33423;1153;577298;69862;31484;103
03.09.2021;85794;23760;31795;1249;557345;64247;30581;133
04.09.2021;90187;25201;32574;1234;486382;51895;34953;120
05.09.2021;89531;24614;29793;1155;486827;49377;30390;107
06.09.2021;84979;24363;31765;1159;571449;64596;33789;140
07.09.2021;83861;23463;32364;1176;572651;67580;35557;106
08.09.2021;74305;20918;29558;1128;563574;63520;33145;103
09.09.2021;65512;18568;28229;940;570737;63734;35021;88
10.09.2021;62821;18319;26382;902;554566;63521;36443;92
11.09.2021;63915;19003;24201;944;508019;51688;31857;118
12.09.2021;69414;20912;22986;911;487120;48861;28360;140
13.09.2021;81114;23971;23213;892;586794;66635;38654;118
14.09.2021;82086;24556;25387;1003;597849;67504;38588;109
15.09.2021;75463;22560;28752;878;603656;69395;36678;128
16.09.2021;81734;24674;28731;1029;609593;72707;38713;129
17.09.2021;96463;27136;28693;1128;601248;66155;37116;119
18.09.2021;107486;29658;31115;1276;497316;55844;35847;161
19.09.2021;134327;34247;37233;1353;511264;56133;37127;168
20.09.2021;165906;41472;41092;1491;626030;75235;47713;175
21.09.2021;170223;42394;47829;1667;605735;75148;51613;157
22.09.2021;150575;36848;52808;1918;585256;75055;48266;133
23.09.2021;133923;33795;54822;2061;557035;76333;40644;142
24.09.2021;119742;30280;50958;1669;549709;68280;41578;125
25.09.2021;98177;27253;49390;1584;500036;54912;27843;117
26.09.2021;84608;24059;48455;1512;482696;52197;23159;106
27.09.2021;84293;24627;38861;1470;558463;67901;24617;124
28.09.2021;109469;32747;34797;1433;585034;73897;32398;119
29.09.2021;139239;43236;35931;1575;576966;76808;36120;153
30.09.2021;174727;50487;43788;2026;571221;77013;37468;137
