"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2023","50.570","50.570","50.570","50.570","","4.18%"
"02/21/2023","48.540","50.800","50.800","50.800","0.00K","-1.03%"
"02/17/2023","49.045","49.700","49.700","49.500","0.00K","-5.70%"
"02/16/2023","52.010","54.000","54.000","54.000","0.01K","-4.94%"
"02/15/2023","54.715","54.200","54.200","54.200","0.00K","4.45%"
"02/14/2023","52.385","52.000","52.000","52.000","0.00K","1.32%"
"02/13/2023","51.705","51.705","51.705","51.705","","-4.15%"
"02/10/2023","53.945","53.250","53.250","53.250","0.00K","2.29%"
"02/09/2023","52.735","52.735","52.735","52.735","","-1.77%"
"02/08/2023","53.685","53.685","53.685","53.685","","-3.10%"
"02/07/2023","55.405","57.400","57.700","55.500","0.01K","-4.65%"
"02/06/2023","58.110","58.110","58.110","58.110","","0.38%"
"02/03/2023","57.890","58.000","59.200","57.900","0.01K","1.49%"
"02/02/2023","57.040","57.100","57.100","56.700","0.00K","-4.17%"
"02/01/2023","59.525","57.400","58.200","57.400","0.00K","3.79%"
"01/31/2023","57.350","60.200","60.200","57.400","0.01K","3.98%"
"01/30/2023","55.156","56.850","56.850","55.500","0.01K","-0.49%"
"01/27/2023","55.425","53.500","53.500","53.000","0.01K","1.11%"
"01/26/2023","54.815","56.600","56.600","56.600","0.00K","-3.26%"
"01/25/2023","56.660","57.250","57.250","56.600","0.00K","-2.76%"
"01/24/2023","58.270","58.270","58.270","58.270","","-11.71%"
"01/23/2023","66.000","65.200","65.200","64.600","0.00K","-1.35%"
"01/20/2023","66.900","66.500","66.500","66.500","0.00K","10.19%"
"01/19/2023","60.715","60.300","61.100","60.300","0.02K","-1.61%"
"01/18/2023","61.710","60.000","62.200","60.000","0.01K","2.75%"
"01/17/2023","60.060","65.000","65.000","54.500","0.01K","-7.33%"
"01/13/2023","64.810","66.300","66.300","62.800","0.01K","-2.99%"
"01/12/2023","66.810","69.600","69.600","67.600","0.01K","2.24%"
"01/11/2023","65.345","67.595","67.595","65.500","0.01K","-6.74%"
"01/10/2023","70.070","73.000","76.000","70.200","0.02K","-5.69%"
"01/09/2023","74.300","71.050","75.400","70.100","0.01K","6.85%"
"01/06/2023","69.535","72.000","76.000","68.000","0.01K","-3.98%"
"01/05/2023","72.420","72.420","72.420","72.420","","11.38%"
"01/04/2023","65.020","65.020","65.020","65.020","","-10.09%"
"01/03/2023","72.315","72.315","72.315","72.315","","-5.24%"
"12/30/2022","76.315","76.315","76.315","76.315","","-8.96%"
"12/29/2022","83.830","83.830","83.830","83.830","","3.05%"
"12/28/2022","81.350","81.350","81.350","81.350","","1.63%"
"12/27/2022","80.045","80.045","80.045","80.045","","-3.53%"
"12/23/2022","82.975","82.975","82.975","82.975","","-9.75%"
"12/22/2022","91.940","91.940","91.940","91.940","","-5.94%"
"12/21/2022","97.750","97.750","97.750","97.750","","-7.51%"
"12/20/2022","105.690","105.690","105.690","105.690","","-2.63%"
"12/19/2022","108.545","108.545","108.545","108.545","","-5.98%"
"12/16/2022","115.450","115.450","115.450","115.450","","-14.33%"
"12/15/2022","134.765","134.765","134.765","134.765","","2.48%"
"12/14/2022","131.510","131.510","131.510","131.510","","-4.38%"
"12/13/2022","137.530","137.530","137.530","137.530","","0.69%"
"12/12/2022","136.590","136.590","136.590","136.590","","-1.82%"
"12/09/2022","139.115","139.115","139.115","139.115","","0.16%"
"12/08/2022","138.895","138.895","138.895","138.895","","-6.93%"
"12/07/2022","149.245","149.245","149.245","149.245","","7.77%"
"12/06/2022","138.490","138.490","138.490","138.490","","2.81%"
"12/05/2022","134.700","134.700","134.700","134.700","","-0.63%"
