time,Temp [K]
2017-01-01,271.6185646685567
2017-01-02,272.7353009382808
2017-01-03,273.91645086501865
2017-01-04,274.8670949963656
2017-01-05,270.24065996910366
2017-01-06,265.1105214588505
2017-01-07,267.1425078368666
2017-01-08,272.31832640229237
2017-01-09,273.1583582108878
2017-01-10,272.91069258151424
2017-01-11,274.3577643258991
2017-01-12,276.40401940329565
2017-01-13,274.2806906117484
2017-01-14,273.60947994567033
2017-01-15,272.14055609938396
2017-01-16,269.8421743829693
2017-01-17,268.8985054459262
2017-01-18,268.5873087275932
2017-01-19,268.48913910174497
2017-01-20,269.8325811978286
2017-01-21,270.2664898200544
2017-01-22,268.4277284648861
2017-01-23,267.69960882516
2017-01-24,269.67919589364936
2017-01-25,269.8458008718317
2017-01-26,270.74360431778047
2017-01-27,271.0899240873375
2017-01-28,271.94912609563386
2017-01-29,273.99226097459916
2017-01-30,275.03355968157604
2017-01-31,274.8642169570997
2017-02-01,274.4254773777581
2017-02-02,276.5718256223677
2017-02-03,277.69142407007627
2017-02-04,277.49023936793316
2017-02-05,276.5963131014582
2017-02-06,274.9243229275026
2017-02-07,274.0966839429918
2017-02-08,272.75964723755993
2017-02-09,271.00181278055953
2017-02-10,271.49752874944784
2017-02-11,273.0780086817185
2017-02-12,273.4382792454766
2017-02-13,273.58094268986207
2017-02-14,274.31165016133104
2017-02-15,276.52392456291585
2017-02-16,278.48279120522443
2017-02-17,278.1928441682682
2017-02-18,277.24310302473236
2017-02-19,276.55771214680203
2017-02-20,279.97281996116664
2017-02-21,281.288564929445
2017-02-22,281.6935806625098
2017-02-23,281.495824511637
2017-02-24,276.69454537558005
2017-02-25,276.1715207409945
2017-02-26,280.0825554831567
2017-02-27,282.1648443832298
2017-02-28,278.3211906575692
2017-03-01,277.8270718771457
2017-03-02,279.08931845449183
2017-03-03,279.1256362864313
2017-03-04,282.25109467200235
2017-03-05,280.04792263967124
2017-03-06,278.15536379255735
2017-03-07,276.97173444507774
2017-03-08,277.8238389023997
2017-03-09,280.92267534173726
2017-03-10,279.10170469447104
2017-03-11,278.69906825604227
2017-03-12,278.46002906047636
2017-03-13,278.54143716388523
2017-03-14,280.734681014953
2017-03-15,281.6523458390805
2017-03-16,281.4114543563108
2017-03-17,281.5091546357202
2017-03-18,280.4363927826862
2017-03-19,282.0106407947562
2017-03-20,283.43442301771034
2017-03-21,281.3641650782242
2017-03-22,278.7601265276557
2017-03-23,280.63502920387117
2017-03-24,280.4695225871498
2017-03-25,280.7371578322027
2017-03-26,280.54523974554087
2017-03-27,282.0710135070644
2017-03-28,284.6052321490908
2017-03-29,284.87801209876915
2017-03-30,286.81215953856565
2017-03-31,288.03643697466237
2017-04-01,286.30574028441475
2017-04-02,284.79476822027044
2017-04-03,282.9194497823917
2017-04-04,281.8142901637148
2017-04-05,281.47698248223486
2017-04-06,280.35116189682924
2017-04-07,281.5578326938942
2017-04-08,283.3480995680177
2017-04-09,285.255078138809
2017-04-10,284.8904372099978
2017-04-11,281.1581252170574
2017-04-12,282.8977882306758
2017-04-13,282.32505530673876
2017-04-14,281.45779712543197
2017-04-15,281.70905876995846
2017-04-16,279.44247330210584
2017-04-17,278.1760221634373
2017-04-18,276.44730556761266
2017-04-19,275.4845997952454
2017-04-20,276.77510561440005
2017-04-21,281.05532126869844
2017-04-22,280.2716281202432
2017-04-23,278.5488405242068
2017-04-24,281.04564301909636
2017-04-25,279.77911393254647
2017-04-26,277.8905355210587
2017-04-27,278.20332443152796
2017-04-28,279.0678253561368
2017-04-29,280.0618835026067
2017-04-30,282.8643229024195
2017-05-01,282.4159918309331
2017-05-02,281.69034406651036
2017-05-03,283.11876553462633
2017-05-04,282.20068267883886
2017-05-05,282.32175490846595
2017-05-06,285.11085941333187
2017-05-07,285.15544382177325
2017-05-08,281.59929651186013
2017-05-09,280.23353295484384
2017-05-10,282.21665595522927
2017-05-11,286.76704645964327
2017-05-12,288.02193953991195
2017-05-13,288.4295466304767
2017-05-14,287.9864946391596
2017-05-15,287.8774563915767
2017-05-16,290.162304611378
2017-05-17,293.41667446529715
2017-05-18,292.2742987643588
2017-05-19,288.04018930938037
2017-05-20,285.5464578253902
2017-05-21,287.0566299098086
2017-05-22,289.19829896162975
2017-05-23,290.7718715495804
2017-05-24,287.91207590806624
2017-05-25,288.4303088166522
2017-05-26,290.7959158560121
2017-05-27,293.76986415568933
2017-05-28,294.7654035682079
2017-05-29,295.9512687888049
2017-05-30,293.84156491246705
2017-05-31,291.0460600144764
2017-06-01,290.43878838884274
2017-06-02,292.2520652456081
2017-06-03,292.39872763892197
2017-06-04,288.8790491544205
2017-06-05,288.54978497703297
2017-06-06,287.93100413284554
2017-06-07,285.74044547739385
2017-06-08,288.9354053798534
2017-06-09,290.20737801391596
2017-06-10,290.0889291788775
2017-06-11,294.0207457661944
2017-06-12,291.6895530837124
2017-06-13,289.4855081111494
2017-06-14,290.62622395740317
2017-06-15,293.7080704863896
2017-06-16,290.36728228939063
2017-06-17,289.1699170944549
2017-06-18,292.41043765932403
2017-06-19,295.33157500673036
2017-06-20,295.9576170708111
2017-06-21,294.4844985887178
2017-06-22,296.69665944498615
2017-06-23,294.1859671224782
2017-06-24,292.21009347122407
2017-06-25,291.5809215953705
2017-06-26,292.0478208527783
2017-06-27,291.035438720624
2017-06-28,292.06970297100423
2017-06-29,289.96938946654404
2017-06-30,289.54509621227123
2017-07-01,288.6194472296212
2017-07-02,288.7039178583692
2017-07-03,290.1183991063484
2017-07-04,291.1156200568719
2017-07-05,292.6342968449018
