DayOfUse;HGasSLPsyn;UnitHGasSLPsyn;HGasSLPana;UnitHGasSLPana;LGasSLPsyn;UnitLGasSLPsyn;LGasSLPana;UnitLGasSLPana;HGasRLMmT;UnitHGasRLMmT;LGasRLMmT;UnitLGasRLMmT;HGasRLMoT;UnitHGasRLMoT;LGasRLMoT;UnitLGasRLMoT;Status
01.04.2011;257675256;kWh;46765704;kWh;82081032;kWh;51595032;kWh;196575072;kWh;114242736;kWh;346186257;kWh;138841871;kWh;final
02.04.2011;205896072;kWh;47067624;kWh;62495592;kWh;50723520;kWh;144448008;kWh;87985704;kWh;299064161;kWh;109296722;kWh;final
03.04.2011;193995720;kWh;41165208;kWh;81119784;kWh;44920824;kWh;149170560;kWh;97377120;kWh;300916604;kWh;116462879;kWh;final
04.04.2011;265378992;kWh;32022120;kWh;105843984;kWh;31238232;kWh;218356464;kWh;124870080;kWh;416981886;kWh;139535245;kWh;final
05.04.2011;290884776;kWh;34177176;kWh;113599176;kWh;37847952;kWh;214760040;kWh;126620448;kWh;405457169;kWh;138663890;kWh;final
06.04.2011;228481608;kWh;45608184;kWh;83526912;kWh;46336032;kWh;199727976;kWh;114654048;kWh;396343253;kWh;133798538;kWh;final
07.04.2011;196793088;kWh;45742008;kWh;85494024;kWh;50658576;kWh;193662432;kWh;114942792;kWh;381637750;kWh;128042360;kWh;final
08.04.2011;246196704;kWh;34180272;kWh;101603472;kWh;36736368;kWh;200207568;kWh;113073288;kWh;367149614;kWh;123330885;kWh;final
09.04.2011;250854888;kWh;30612360;kWh;106472976;kWh;33609168;kWh;168272328;kWh;94384560;kWh;298858679;kWh;99982123;kWh;final
10.04.2011;259362432;kWh;35473560;kWh;109546536;kWh;35868768;kWh;171423528;kWh;95217696;kWh;304877491;kWh;94331683;kWh;final
11.04.2011;227122224;kWh;34675392;kWh;87398232;kWh;36181080;kWh;196421688;kWh;111327168;kWh;372355418;kWh;125278006;kWh;final
12.04.2011;326646888;kWh;34782600;kWh;123984408;kWh;33618960;kWh;224683680;kWh;126017160;kWh;407558821;kWh;137420942;kWh;final
13.04.2011;406027680;kWh;31534920;kWh;150246504;kWh;27816120;kWh;235496568;kWh;129003024;kWh;418246367;kWh;146060514;kWh;final
14.04.2011;437738664;kWh;49159584;kWh;164033808;kWh;44978688;kWh;232783536;kWh;127061904;kWh;439450596;kWh;134524819;kWh;final
15.04.2011;439603704;kWh;57708192;kWh;156933192;kWh;48723672;kWh;218636016;kWh;118696152;kWh;415947263;kWh;136591994;kWh;final
16.04.2011;388095096;kWh;53452968;kWh;137407512;kWh;49632168;kWh;167184192;kWh;94047048;kWh;338832172;kWh;107058570;kWh;final
17.04.2011;336872232;kWh;50980368;kWh;122231856;kWh;45633216;kWh;165873864;kWh;96097824;kWh;312855203;kWh;101725017;kWh;final
18.04.2011;289043688;kWh;45110400;kWh;102074376;kWh;38449080;kWh;206948352;kWh;115417368;kWh;370863356;kWh;116999492;kWh;final
19.04.2011;236155968;kWh;39515760;kWh;78395712;kWh;37966608;kWh;195346608;kWh;111346368;kWh;377177397;kWh;114295879;kWh;final
20.04.2011;195008904;kWh;34159584;kWh;65578656;kWh;32076192;kWh;188405016;kWh;107632872;kWh;371676110;kWh;113411779;kWh;final
21.04.2011;160060776;kWh;29365248;kWh;54860280;kWh;25880448;kWh;172773936;kWh;96370536;kWh;340459815;kWh;111809283;kWh;final
22.04.2011;134389944;kWh;25236600;kWh;46917912;kWh;22614216;kWh;123443832;kWh;74106048;kWh;242503331;kWh;88978181;kWh;final
23.04.2011;125123016;kWh;21627816;kWh;42446256;kWh;19224168;kWh;115915536;kWh;65888208;kWh;226285415;kWh;95143556;kWh;final
24.04.2011;133634184;kWh;19254312;kWh;44671152;kWh;16584936;kWh;111761712;kWh;61133256;kWh;231485243;kWh;92168034;kWh;final
25.04.2011;153737592;kWh;17709264;kWh;52721256;kWh;15130344;kWh;131627448;kWh;73652520;kWh;253229234;kWh;101824007;kWh;final
26.04.2011;194486640;kWh;20311680;kWh;65609016;kWh;15714816;kWh;190981104;kWh;99833040;kWh;365726176;kWh;130991312;kWh;final
27.04.2011;227205672;kWh;23504304;kWh;76326288;kWh;15803136;kWh;198089784;kWh;108244728;kWh;382464035;kWh;131291672;kWh;final
28.04.2011;211595064;kWh;26385264;kWh;73330608;kWh;17890632;kWh;191582064;kWh;110016240;kWh;371069363;kWh;129999915;kWh;final
29.04.2011;184982112;kWh;29785008;kWh;64925712;kWh;22664256;kWh;175816848;kWh;102486216;kWh;347221006;kWh;122169406;kWh;final
30.04.2011;177306456;kWh;25827912;kWh;64642584;kWh;24681168;kWh;136784304;kWh;78769632;kWh;257645434;kWh;107689487;kWh;final
01.05.2011;201740904;kWh;22746312;kWh;77408088;kWh;20856720;kWh;135815496;kWh;80044464;kWh;260092216;kWh;93649321;kWh;final
02.05.2011;254986248;kWh;25345896;kWh;113336640;kWh;21033480;kWh;199080000;kWh;115212408;kWh;379742046;kWh;141480616;kWh;final
03.05.2011;346345752;kWh;30330768;kWh;143508696;kWh;22125888;kWh;222987432;kWh;120962664;kWh;429201082;kWh;149231286;kWh;final
04.05.2011;378153456;kWh;34206192;kWh;154473336;kWh;29855280;kWh;219049032;kWh;121322640;kWh;416363712;kWh;148533906;kWh;final
05.05.2011;337836144;kWh;41365632;kWh;134221224;kWh;33792216;kWh;205329120;kWh;117076584;kWh;415954578;kWh;144958829;kWh;final
06.05.2011;239819232;kWh;41283144;kWh;83818344;kWh;36795912;kWh;181764960;kWh;104709480;kWh;396583741;kWh;130410567;kWh;final
07.05.2011;147801768;kWh;33803976;kWh;49053072;kWh;30848832;kWh;130288800;kWh;78113640;kWh;278194731;kWh;105317637;kWh;final
08.05.2011;129200232;kWh;26544144;kWh;41079024;kWh;23000664;kWh;131288520;kWh;81464520;kWh;247902946;kWh;102763588;kWh;final
09.05.2011;122796048;kWh;21288048;kWh;36543264;kWh;16900368;kWh;177503040;kWh;102626064;kWh;367780874;kWh;130294922;kWh;final
10.05.2011;112566696;kWh;19698672;kWh;35705088;kWh;14215608;kWh;177612072;kWh;103370904;kWh;379246670;kWh;135846835;kWh;final
11.05.2011;111028368;kWh;19565304;kWh;40652880;kWh;13982544;kWh;173687040;kWh;104942064;kWh;372081688;kWh;135708425;kWh;final
12.05.2011;135382224;kWh;18497736;kWh;55726896;kWh;13927560;kWh;178514088;kWh;107260848;kWh;359813344;kWh;139371552;kWh;final
13.05.2011;164423424;kWh;18318624;kWh;66266328;kWh;13706736;kWh;169698480;kWh;102465408;kWh;355852852;kWh;126574094;kWh;final
14.05.2011;178527408;kWh;20319792;kWh;76084056;kWh;17725416;kWh;132970728;kWh;84255144;kWh;301324124;kWh;98182600;kWh;final
15.05.2011;246181296;kWh;20836416;kWh;94060584;kWh;16947504;kWh;143603280;kWh;90837768;kWh;275309587;kWh;96397439;kWh;final
16.05.2011;258490152;kWh;23434416;kWh;92304000;kWh;17701800;kWh;192950232;kWh;113078712;kWh;369434438;kWh;130450813;kWh;final
17.05.2011;204614784;kWh;30164328;kWh;79150416;kWh;23050272;kWh;185982936;kWh;110331648;kWh;374230220;kWh;128633163;kWh;final
18.05.2011;156051576;kWh;29394624;kWh;61121328;kWh;27760632;kWh;179102664;kWh;106488768;kWh;373900286;kWh;126352665;kWh;final
19.05.2011;138574488;kWh;24675168;kWh;59818632;kWh;24649152;kWh;178299096;kWh;106234200;kWh;380339978;kWh;128540581;kWh;final
20.05.2011;122773296;kWh;19982184;kWh;52196160;kWh;18872280;kWh;175112712;kWh;98360928;kWh;378822129;kWh;119463448;kWh;final
21.05.2011;111373152;kWh;17801184;kWh;46100952;kWh;17884584;kWh;140034984;kWh;78343920;kWh;316352628;kWh;97359031;kWh;final
22.05.2011;109059120;kWh;16527528;kWh;44712264;kWh;15104040;kWh;144672888;kWh;82821720;kWh;257152181;kWh;102023458;kWh;final
23.05.2011;121705488;kWh;16307736;kWh;50498208;kWh;15713904;kWh;176990184;kWh;104199264;kWh;363074604;kWh;124274054;kWh;final
24.05.2011;126714696;kWh;16661808;kWh;59569296;kWh;14593992;kWh;179341704;kWh;106546200;kWh;359592838;kWh;127164245;kWh;final
25.05.2011;150599424;kWh;16704312;kWh;63585432;kWh;14917440;kWh;182644776;kWh;105670008;kWh;362929633;kWh;124849395;kWh;final
26.05.2011;113940240;kWh;16509552;kWh;52775448;kWh;17131584;kWh;174906648;kWh;102823992;kWh;356682892;kWh;120683797;kWh;final
27.05.2011;173462112;kWh;17278800;kWh;71205408;kWh;15700344;kWh;173887008;kWh;101893224;kWh;356232734;kWh;124826019;kWh;final
28.05.2011;176857752;kWh;15601392;kWh;68250840;kWh;14835960;kWh;131728032;kWh;78570984;kWh;265831238;kWh;104337222;kWh;final
29.05.2011;141023208;kWh;20673096;kWh;55422432;kWh;19108680;kWh;129220776;kWh;82172184;kWh;268038896;kWh;104591262;kWh;final
30.05.2011;100450944;kWh;20319312;kWh;37936176;kWh;16012248;kWh;166208616;kWh;95619096;kWh;346939476;kWh;126542879;kWh;final
31.05.2011;125382936;kWh;17206680;kWh;53156712;kWh;15611064;kWh;175507896;kWh;101531400;kWh;362849773;kWh;129171313;kWh;final
01.06.2011;194550696;kWh;14654592;kWh;64714032;kWh;11870856;kWh;175409232;kWh;97145040;kWh;373688017;kWh;135142399;kWh;final
02.06.2011;145371456;kWh;16651608;kWh;56451528;kWh;15984048;kWh;127783944;kWh;77499216;kWh;268891609;kWh;110927529;kWh;final
03.06.2011;111322464;kWh;21401352;kWh;42938376;kWh;17429640;kWh;139544640;kWh;81270600;kWh;336368427;kWh;114452946;kWh;final
04.06.2011;81496320;kWh;21377688;kWh;31138416;kWh;14204016;kWh;113760000;kWh;70791144;kWh;272369108;kWh;106505830;kWh;final
05.06.2011;75360096;kWh;15226872;kWh;28030128;kWh;11456160;kWh;120800880;kWh;75911136;kWh;266398122;kWh;110959335;kWh;final
06.06.2011;81821232;kWh;12642168;kWh;28669800;kWh;9850320;kWh;168873432;kWh;95173872;kWh;354379985;kWh;138563204;kWh;final
07.06.2011;87021600;kWh;13567008;kWh;31487760;kWh;9912648;kWh;171658176;kWh;97191672;kWh;355891236;kWh;132957632;kWh;final
08.06.2011;129121464;kWh;13836336;kWh;48723744;kWh;10713744;kWh;178047336;kWh;102091512;kWh;356175164;kWh;134936187;kWh;final
09.06.2011;154793064;kWh;13696536;kWh;57188544;kWh;11574696;kWh;175502448;kWh;98791440;kWh;349128628;kWh;139680062;kWh;final
10.06.2011;152046312;kWh;17091312;kWh;58699704;kWh;14549808;kWh;164347032;kWh;92438088;kWh;337490363;kWh;133823523;kWh;final
11.06.2011;172643400;kWh;18428520;kWh;65888976;kWh;14446344;kWh;122407872;kWh;68831808;kWh;271376474;kWh;115825185;kWh;final
12.06.2011;152638296;kWh;17610696;kWh;60594144;kWh;14956872;kWh;104943768;kWh;63159480;kWh;227080956;kWh;109611883;kWh;final
13.06.2011;147358296;kWh;19611240;kWh;53618808;kWh;15840408;kWh;120291288;kWh;70391952;kWh;258637430;kWh;113399855;kWh;final
14.06.2011;124505328;kWh;16418736;kWh;46467408;kWh;14006472;kWh;168253224;kWh;93887208;kWh;330355600;kWh;142745263;kWh;final
15.06.2011;100049496;kWh;15744504;kWh;38134800;kWh;12823992;kWh;164190624;kWh;96175032;kWh;338929557;kWh;145229716;kWh;final
16.06.2011;97336224;kWh;15025056;kWh;39616512;kWh;12796368;kWh;167740128;kWh;97159776;kWh;327343938;kWh;146692761;kWh;final
17.06.2011;111909576;kWh;13745088;kWh;47406024;kWh;12188280;kWh;157813752;kWh;94039440;kWh;312757615;kWh;131004504;kWh;final
18.06.2011;132408240;kWh;13929528;kWh;53145960;kWh;12668112;kWh;125544984;kWh;76522656;kWh;255028030;kWh;101668646;kWh;final
19.06.2011;171388200;kWh;14431968;kWh;65203848;kWh;14040912;kWh;130028112;kWh;83047488;kWh;238331281;kWh;104346486;kWh;final
20.06.2011;165373008;kWh;17306376;kWh;65513712;kWh;15337680;kWh;173785080;kWh;101791776;kWh;316357483;kWh;120856962;kWh;final
21.06.2011;118878000;kWh;20493720;kWh;51291072;kWh;18923184;kWh;164442432;kWh;101564112;kWh;323130052;kWh;116022214;kWh;final
22.06.2011;110156280;kWh;19186656;kWh;47725248;kWh;18249480;kWh;158246160;kWh;96345168;kWh;323375752;kWh;119864713;kWh;final
23.06.2011;132464832;kWh;14315568;kWh;54369096;kWh;14670552;kWh;126179904;kWh;83197344;kWh;268829977;kWh;106720194;kWh;final
24.06.2011;165676752;kWh;14019576;kWh;66987600;kWh;14809248;kWh;145977360;kWh;92095008;kWh;311408912;kWh;106138199;kWh;final
25.06.2011;165953496;kWh;16503000;kWh;68485584;kWh;15628992;kWh;123374424;kWh;79038432;kWh;285371442;kWh;96726724;kWh;final
26.06.2011;107000352;kWh;18027048;kWh;43043616;kWh;18013680;kWh;122995728;kWh;78313752;kWh;249317948;kWh;92694574;kWh;final
27.06.2011;75286392;kWh;18638808;kWh;30080448;kWh;20223960;kWh;161802432;kWh;94343016;kWh;342919140;kWh;110390003;kWh;final
28.06.2011;62451192;kWh;14436792;kWh;23441208;kWh;14127528;kWh;159699384;kWh;92128368;kWh;335998092;kWh;117357657;kWh;final
29.06.2011;70048464;kWh;12844776;kWh;27743040;kWh;10804248;kWh;163464576;kWh;96479448;kWh;346210003;kWh;133263353;kWh;final
30.06.2011;112557840;kWh;12243096;kWh;42743088;kWh;9313488;kWh;166758000;kWh;99837600;kWh;350510624;kWh;115381792;kWh;final
01.07.2011;161334264;kWh;13049904;kWh;58630968;kWh;10957512;kWh;160904856;kWh;96883968;kWh;346674270;kWh;112775395;kWh;final
02.07.2011;181001352;kWh;15942192;kWh;69297192;kWh;15388656;kWh;122988120;kWh;77396880;kWh;251618084;kWh;99594741;kWh;final
03.07.2011;184474584;kWh;17162328;kWh;74615160;kWh;15152304;kWh;125542872;kWh;82663512;kWh;253576091;kWh;96933967;kWh;final
04.07.2011;143525040;kWh;17778264;kWh;60595104;kWh;15839784;kWh;166049424;kWh;102888312;kWh;336836215;kWh;123684940;kWh;final
05.07.2011;104204640;kWh;18858312;kWh;44091432;kWh;17057256;kWh;161541984;kWh;99169344;kWh;361949816;kWh;118828885;kWh;final
06.07.2011;87778776;kWh;16477608;kWh;37502256;kWh;17001624;kWh;159755712;kWh;98514240;kWh;352847931;kWh;106837599;kWh;final
07.07.2011;84751560;kWh;14005872;kWh;35060280;kWh;12537216;kWh;158190648;kWh;96251064;kWh;362822262;kWh;102088782;kWh;final
08.07.2011;87308736;kWh;12518520;kWh;34136856;kWh;11766912;kWh;149724240;kWh;93640320;kWh;353407453;kWh;106462745;kWh;final
09.07.2011;81795648;kWh;12596184;kWh;33073992;kWh;11762832;kWh;113042448;kWh;74573280;kWh;266388867;kWh;94546701;kWh;final
10.07.2011;85897416;kWh;12752880;kWh;34575528;kWh;11683128;kWh;114492336;kWh;77825136;kWh;236488362;kWh;91774533;kWh;final
11.07.2011;89616480;kWh;12304296;kWh;35743008;kWh;11275272;kWh;155888208;kWh;96913512;kWh;369183960;kWh;123623201;kWh;final
12.07.2011;75964128;kWh;12233256;kWh;31255392;kWh;11258472;kWh;153775824;kWh;94544376;kWh;366511412;kWh;122962913;kWh;final
13.07.2011;87292440;kWh;12694080;kWh;39000360;kWh;10761864;kWh;162908376;kWh;99974712;kWh;367574171;kWh;132635082;kWh;final
14.07.2011;137208912;kWh;12347352;kWh;53233944;kWh;10072632;kWh;169480392;kWh;103535616;kWh;360959344;kWh;126741933;kWh;final
15.07.2011;139800552;kWh;13194408;kWh;51262008;kWh;12670056;kWh;156639984;kWh;94278912;kWh;365306294;kWh;128226865;kWh;final
16.07.2011;111643608;kWh;16810200;kWh;41129880;kWh;15695184;kWh;115338480;kWh;72842856;kWh;265369752;kWh;103916459;kWh;final
17.07.2011;122051256;kWh;16039032;kWh;42662184;kWh;14697936;kWh;120101352;kWh;77026992;kWh;248909875;kWh;102104283;kWh;final
18.07.2011;145818048;kWh;13480680;kWh;49311288;kWh;12488736;kWh;163418736;kWh;97785792;kWh;366401632;kWh;129395296;kWh;final
19.07.2011;140065536;kWh;14807496;kWh;48733344;kWh;13055016;kWh;159413664;kWh;98384808;kWh;378730320;kWh;124568250;kWh;final
20.07.2011;152606544;kWh;16708008;kWh;46185744;kWh;13336968;kWh;165903720;kWh;98570352;kWh;360104795;kWh;123916805;kWh;final
21.07.2011;145618896;kWh;15094560;kWh;49538640;kWh;13043016;kWh;162390456;kWh;95829744;kWh;337241392;kWh;129310615;kWh;final
22.07.2011;154517400;kWh;19078080;kWh;57946008;kWh;13715376;kWh;153899568;kWh;89644248;kWh;326360526;kWh;129762679;kWh;final
23.07.2011;178287648;kWh;16401840;kWh;67967280;kWh;13910640;kWh;117644640;kWh;71224416;kWh;236389503;kWh;107630376;kWh;final
24.07.2011;207475176;kWh;17694240;kWh;81285456;kWh;14990520;kWh;124148256;kWh;75688536;kWh;247900343;kWh;114020132;kWh;final
25.07.2011;188127408;kWh;19206312;kWh;72260928;kWh;16972752;kWh;162465528;kWh;89393496;kWh;336559986;kWh;125677702;kWh;final
26.07.2011;155716920;kWh;22603752;kWh;59274144;kWh;22057512;kWh;161007936;kWh;89476752;kWh;340079069;kWh;122442070;kWh;final
27.07.2011;129364560;kWh;20074464;kWh;46898904;kWh;16977192;kWh;160102176;kWh;88590528;kWh;336651935;kWh;129912343;kWh;final
28.07.2011;112822224;kWh;16779816;kWh;40373592;kWh;15984288;kWh;157314696;kWh;87252360;kWh;341542208;kWh;128664545;kWh;final
29.07.2011;114486552;kWh;15429768;kWh;44549688;kWh;14633376;kWh;150671928;kWh;82432176;kWh;326750337;kWh;117571256;kWh;final
30.07.2011;133074984;kWh;15322272;kWh;56532864;kWh;13634592;kWh;117855168;kWh;69029760;kWh;241225397;kWh;104563513;kWh;final
31.07.2011;140563848;kWh;15913104;kWh;58831320;kWh;14170032;kWh;118873152;kWh;69787656;kWh;249532268;kWh;101648055;kWh;final
01.08.2011;124175784;kWh;18183408;kWh;51403512;kWh;15602160;kWh;152435856;kWh;84814080;kWh;339614287;kWh;111101209;kWh;final
02.08.2011;96188064;kWh;18105792;kWh;35739912;kWh;16884192;kWh;149969928;kWh;83025864;kWh;334621834;kWh;107765407;kWh;final
03.08.2011;82277376;kWh;16249056;kWh;30248832;kWh;13426104;kWh;146439312;kWh;84894528;kWh;347785754;kWh;111392846;kWh;final
04.08.2011;77146824;kWh;13143576;kWh;28357152;kWh;10717680;kWh;146259240;kWh;82648176;kWh;341983593;kWh;112081589;kWh;final
05.08.2011;84181872;kWh;13795896;kWh;30438312;kWh;10802352;kWh;138372288;kWh;78465768;kWh;339243360;kWh;109534634;kWh;final
06.08.2011;78617952;kWh;13252200;kWh;30904968;kWh;10301256;kWh;104939976;kWh;61722360;kWh;254296653;kWh;97918766;kWh;final
07.08.2011;98934336;kWh;12841560;kWh;38518104;kWh;10151880;kWh;108923616;kWh;68269560;kWh;237231945;kWh;96055115;kWh;final
08.08.2011;134074704;kWh;12053640;kWh;51768288;kWh;10303176;kWh;150073536;kWh;89930256;kWh;306913777;kWh;108307815;kWh;final
09.08.2011;168031872;kWh;13609872;kWh;63039528;kWh;11626920;kWh;156475728;kWh;95629560;kWh;300797516;kWh;108920326;kWh;final
10.08.2011;182695464;kWh;15767952;kWh;67020360;kWh;14071560;kWh;156644808;kWh;91865928;kWh;341643682;kWh;108134251;kWh;final
11.08.2011;136936296;kWh;18121464;kWh;50794608;kWh;14532312;kWh;149368152;kWh;90251232;kWh;316536541;kWh;102863615;kWh;final
12.08.2011;115120776;kWh;17502576;kWh;42570624;kWh;14263152;kWh;140019120;kWh;84710376;kWh;334868071;kWh;106647175;kWh;final
13.08.2011;98713920;kWh;14320920;kWh;36770328;kWh;11496264;kWh;104612280;kWh;66816216;kWh;286805306;kWh;94895377;kWh;final
14.08.2011;86899752;kWh;13466592;kWh;36326496;kWh;12593136;kWh;106399056;kWh;69328992;kWh;237920674;kWh;96668880;kWh;final
15.08.2011;104086872;kWh;13169304;kWh;43186632;kWh;11862912;kWh;138746616;kWh;89318928;kWh;322884234;kWh;111471379;kWh;final
16.08.2011;107423328;kWh;12617424;kWh;44934552;kWh;13270872;kWh;146561424;kWh;88823112;kWh;343627773;kWh;113792986;kWh;final
17.08.2011;88267176;kWh;13684800;kWh;37189872;kWh;12931464;kWh;146988720;kWh;87592416;kWh;350894028;kWh;114992700;kWh;final
18.08.2011;70306152;kWh;13756512;kWh;30305016;kWh;12496488;kWh;144750672;kWh;85976520;kWh;347926947;kWh;114277437;kWh;final
19.08.2011;79820232;kWh;13000824;kWh;34901256;kWh;10982400;kWh;139317648;kWh;81162720;kWh;347650449;kWh;109731877;kWh;final
20.08.2011;80271240;kWh;11975568;kWh;36828600;kWh;10522392;kWh;107950128;kWh;68162592;kWh;300359015;kWh;86745665;kWh;final
21.08.2011;68294856;kWh;12350880;kWh;31382616;kWh;11424384;kWh;110379096;kWh;70493784;kWh;280831294;kWh;94323503;kWh;final
22.08.2011;65214552;kWh;12121416;kWh;29794608;kWh;11109720;kWh;151086360;kWh;89835672;kWh;370231966;kWh;110082940;kWh;final
23.08.2011;57424872;kWh;11556168;kWh;25105200;kWh;9905016;kWh;151648560;kWh;90860136;kWh;372542829;kWh;95963215;kWh;final
24.08.2011;61272096;kWh;11250312;kWh;26289936;kWh;10028952;kWh;156629760;kWh;90828792;kWh;408212884;kWh;96707868;kWh;final
25.08.2011;64593408;kWh;11391072;kWh;28461360;kWh;9816648;kWh;156368784;kWh;91079400;kWh;407885480;kWh;91514957;kWh;final
26.08.2011;63650688;kWh;11025192;kWh;27410784;kWh;10030896;kWh;143633064;kWh;85538424;kWh;332345727;kWh;101584184;kWh;final
27.08.2011;119174280;kWh;11121744;kWh;42262272;kWh;9883296;kWh;116096232;kWh;70500936;kWh;290582580;kWh;95617136;kWh;final
28.08.2011;140804400;kWh;10891848;kWh;54823776;kWh;10162128;kWh;119119824;kWh;77158176;kWh;246463215;kWh;91453395;kWh;final
29.08.2011;166742736;kWh;14331792;kWh;69874920;kWh;11527560;kWh;165451032;kWh;98657616;kWh;374939290;kWh;117226317;kWh;final
30.08.2011;192030432;kWh;14641824;kWh;79744608;kWh;13900608;kWh;168902016;kWh;101424240;kWh;388566741;kWh;120428210;kWh;final
31.08.2011;174621456;kWh;15743472;kWh;74895192;kWh;16595544;kWh;166592880;kWh;100610352;kWh;357627937;kWh;113118176;kWh;final
01.09.2011;154627872;kWh;16974408;kWh;70972512;kWh;18296712;kWh;169678848;kWh;99364080;kWh;362906000;kWh;119292365;kWh;final
02.09.2011;115671576;kWh;16491192;kWh;52968744;kWh;17443728;kWh;151590552;kWh;89072064;kWh;357058016;kWh;112447151;kWh;final
03.09.2011;76696008;kWh;16252440;kWh;33412008;kWh;16758432;kWh;112069872;kWh;68042616;kWh;304804688;kWh;99120429;kWh;final
04.09.2011;75592248;kWh;14667312;kWh;30600288;kWh;15448896;kWh;114707400;kWh;73861272;kWh;267865207;kWh;104796598;kWh;final
05.09.2011;106612776;kWh;11823312;kWh;39549000;kWh;14170224;kWh;163224456;kWh;99164904;kWh;346291985;kWh;124346424;kWh;final
06.09.2011;132126408;kWh;11458320;kWh;47676000;kWh;10549536;kWh;169912488;kWh;100114776;kWh;340185816;kWh;124622649;kWh;final
07.09.2011;155121072;kWh;15086208;kWh;58347720;kWh;12647328;kWh;173634672;kWh;100759632;kWh;358138053;kWh;124376801;kWh;final
08.09.2011;175899192;kWh;15635208;kWh;70480224;kWh;14377368;kWh;174003240;kWh;103492872;kWh;371273688;kWh;130822631;kWh;final
09.09.2011;139136928;kWh;16818648;kWh;55711896;kWh;15662376;kWh;158315832;kWh;92558808;kWh;377149783;kWh;131334924;kWh;final
10.09.2011;93673752;kWh;19673664;kWh;36488856;kWh;19993248;kWh;115679688;kWh;69626640;kWh;308276183;kWh;116333422;kWh;final
11.09.2011;85339992;kWh;16131072;kWh;34432704;kWh;16163304;kWh;117725208;kWh;75388392;kWh;280282499;kWh;122980208;kWh;final
12.09.2011;98832240;kWh;12596664;kWh;37192056;kWh;13709016;kWh;162958608;kWh;94840632;kWh;345534563;kWh;129438546;kWh;final
13.09.2011;108266232;kWh;12825096;kWh;46091784;kWh;13244880;kWh;166066032;kWh;95847000;kWh;361220810;kWh;133226114;kWh;final
14.09.2011;150247848;kWh;14247048;kWh;61734264;kWh;13631256;kWh;175361088;kWh;97225224;kWh;403089139;kWh;138894960;kWh;final
15.09.2011;176699472;kWh;14645016;kWh;70383048;kWh;14472576;kWh;174813888;kWh;97149648;kWh;404164689;kWh;134594270;kWh;final
16.09.2011;158923728;kWh;19436112;kWh;65400864;kWh;18453336;kWh;161099304;kWh;88901976;kWh;384777465;kWh;127441378;kWh;final
17.09.2011;131558352;kWh;18886728;kWh;56593800;kWh;17689440;kWh;118659360;kWh;70468224;kWh;336225791;kWh;111649716;kWh;final
18.09.2011;188786784;kWh;16297728;kWh;72375792;kWh;16923096;kWh;131553768;kWh;78926784;kWh;320761766;kWh;114645932;kWh;final
19.09.2011;232697280;kWh;17087736;kWh;79926240;kWh;15769512;kWh;184522248;kWh;99651408;kWh;414578424;kWh;132203512;kWh;final
20.09.2011;224860320;kWh;24330312;kWh;75969960;kWh;20235168;kWh;185494344;kWh;99945624;kWh;419034178;kWh;131331368;kWh;final
21.09.2011;201935568;kWh;27977016;kWh;63974616;kWh;21963960;kWh;182755008;kWh;99984864;kWh;402792739;kWh;129323101;kWh;final
22.09.2011;195324720;kWh;27155712;kWh;69670680;kWh;22321776;kWh;182281728;kWh;100050888;kWh;397230492;kWh;130452009;kWh;final
23.09.2011;204168504;kWh;24306624;kWh;75663216;kWh;20339568;kWh;172780488;kWh;93440400;kWh;403008358;kWh;130789268;kWh;final
24.09.2011;180577536;kWh;23189784;kWh;67595160;kWh;22827792;kWh;128225064;kWh;72661944;kWh;331749741;kWh;114641784;kWh;final
25.09.2011;150586104;kWh;23678616;kWh;55902936;kWh;21928632;kWh;130312752;kWh;76157496;kWh;318410426;kWh;112067738;kWh;final
26.09.2011;130714104;kWh;20351112;kWh;48595584;kWh;18051984;kWh;174834408;kWh;94333248;kWh;413674985;kWh;127095384;kWh;final
27.09.2011;124295856;kWh;19026504;kWh;47057856;kWh;19039872;kWh;175213848;kWh;93135864;kWh;438651225;kWh;124562435;kWh;final
28.09.2011;121972560;kWh;18930216;kWh;45022920;kWh;19221432;kWh;176339112;kWh;93023568;kWh;437437150;kWh;124455189;kWh;final
29.09.2011;125590680;kWh;19088328;kWh;43535736;kWh;16127256;kWh;191183832;kWh;91424040;kWh;407940944;kWh;130346994;kWh;final
30.09.2011;125076888;kWh;19226280;kWh;42929496;kWh;14655144;kWh;167864808;kWh;84864216;kWh;393569691;kWh;127827445;kWh;final
01.10.2011;120451440;kWh;19017072;kWh;40218024;kWh;14025456;kWh;88376712;kWh;49493160;kWh;342828090;kWh;134015965;kWh;final
02.10.2011;119445648;kWh;18858336;kWh;40502256;kWh;14249664;kWh;81516192;kWh;48785952;kWh;308416022;kWh;112428928;kWh;final
03.10.2011;121989888;kWh;17451864;kWh;39734400;kWh;14620848;kWh;90371520;kWh;58828416;kWh;341957803;kWh;111738217;kWh;final
04.10.2011;126293928;kWh;17322984;kWh;43691880;kWh;14361264;kWh;130995432;kWh;75715248;kWh;419047211;kWh;149463840;kWh;final
05.10.2011;139522704;kWh;17776656;kWh;47345256;kWh;13629312;kWh;132969144;kWh;78934272;kWh;442672285;kWh;156373352;kWh;final
06.10.2011;165400248;kWh;17990832;kWh;58676328;kWh;15970248;kWh;138253752;kWh;84621672;kWh;434657532;kWh;161502651;kWh;final
