,0
2016-07-19,0.0558445
2016-07-20,0.047494
2016-07-21,0.053534
2016-07-22,0.0464575
2016-07-23,0.02629
2016-07-24,0.02453925
2016-07-25,0.0525537499999999
2016-07-26,0.05469575
2016-07-27,0.0557195
2016-07-28,0.054561
2016-07-29,0.0336805
2016-07-30,0.02065475
2016-07-31,0.02165925
2016-08-01,0.0413255
2016-08-02,0.0489635
2016-08-03,0.04397475
2016-08-04,0.05036725
2016-08-05,0.0498402499999999
2016-08-06,0.02575875
2016-08-07,0.02362075
2016-08-08,0.029062
2016-08-09,0.04407675
2016-08-10,0.0471869999999999
2016-08-11,0.04003725
2016-08-12,0.029718
2016-08-13,0.0228964999999999
2016-08-14,0.0240669999999999
2016-08-15,0.0272977499999999
2016-08-16,0.05859575
2016-08-17,0.0723134999999999
2016-08-18,0.08213225
2016-08-19,0.080613
2016-08-20,0.0332519999999999
2016-08-21,0.0225365
2016-08-22,0.0766384999999999
2016-08-23,0.1104755
2016-08-24,0.1065385
2016-08-25,0.1009397499999999
2016-08-26,0.10209875
2016-08-27,0.0589532499999999
2016-08-28,0.02798175
2016-08-29,0.0824169999999999
2016-08-30,0.10214675
2016-08-31,0.1017909999999999
2016-09-01,0.1023305
2016-09-02,0.076483
2016-09-03,0.028725
2016-09-04,0.02943525
2016-09-05,0.0744497499999999
2016-09-06,0.1035724999999999
2016-09-07,0.10405325
2016-09-08,0.0987739999999999
2016-09-09,0.103347
2016-09-10,0.0591799999999999
2016-09-11,0.0556959999999999
2016-09-12,0.0993067499999999
2016-09-13,0.10543325
2016-09-14,0.0968862499999999
2016-09-15,0.0782969999999999
2016-09-16,0.1037145
2016-09-17,0.05716075
2016-09-18,0.0422275
2016-09-19,0.1063444999999999
2016-09-20,0.1158962499999999
2016-09-21,0.11324875
2016-09-22,0.105415
2016-09-23,0.0713745
2016-09-24,0.059771
2016-09-25,0.03490325
2016-09-26,0.0996264999999999
2016-09-27,0.10327125
2016-09-28,0.0365675
2016-09-29,0.033489
2016-09-30,0.08086
2016-10-01,0.0807639999999999
2016-10-02,0.07493775
2016-10-03,0.07770625
2016-10-04,0.0604857499999999
2016-10-05,0.0677415
2016-10-06,0.0989309999999999
2016-10-07,0.1216469999999999
2016-10-08,0.07432725
2016-10-09,0.0841065
2016-10-10,0.1244825
2016-10-11,0.10903
2016-10-12,0.1005009999999999
2016-10-13,0.07615825
2016-10-14,0.0585244999999999
2016-10-15,0.05559025
2016-10-16,0.05999325
2016-10-17,0.1164399999999999
2016-10-18,0.10894775
2016-10-19,0.109321
2016-10-20,0.10815175
2016-10-21,0.105574
2016-10-22,0.077557
2016-10-23,0.07982475
2016-10-24,0.1164972499999999
2016-10-25,0.1269719999999999
2016-10-26,0.11827575
2016-10-27,0.0890554999999999
2016-10-28,0.07702675
2016-10-29,0.048983
2016-10-30,0.04378025
2016-10-31,0.0847167499999999
2016-11-01,0.0462184999999999
2016-11-02,0.055087
2016-11-03,0.0967477499999999
2016-11-04,0.063883
2016-11-05,0.054366
2016-11-06,0.05431225
2016-11-07,0.10528275
2016-11-08,0.13369075
2016-11-09,0.132621
2016-11-10,0.12888575
2016-11-11,0.1402757499999999
2016-11-12,0.08683825
2016-11-13,0.06528325
2016-11-14,0.1002284999999999
2016-11-15,0.0962945
2016-11-16,0.0958535
2016-11-17,0.0671335
2016-11-18,0.06240075
2016-11-19,0.05118
2016-11-20,0.0443895
2016-11-21,0.0801715
2016-11-22,0.10083575
2016-11-23,0.11718775
2016-11-24,0.1100759999999999
2016-11-25,0.1102635
2016-11-26,0.0849875
2016-11-27,0.0559159999999999
2016-11-28,0.0972915
2016-11-29,0.12179225
2016-11-30,0.0668627499999999
2016-12-01,0.0664402499999999
2016-12-02,0.09910875
2016-12-03,0.098166
2016-12-04,0.08595425
2016-12-05,0.1380019999999999
2016-12-06,0.1445082499999999
2016-12-07,0.1330017499999999
2016-12-08,0.0793549999999999
2016-12-09,0.0881132499999999
2016-12-10,0.0625535
2016-12-11,0.048913
2016-12-12,0.11227975
2016-12-13,0.12560425
2016-12-14,0.1514462499999999
2016-12-15,0.14173975
2016-12-16,0.14007125
2016-12-17,0.1259555
2016-12-18,0.1140195
2016-12-19,0.14621275
2016-12-20,0.1438652499999999
2016-12-21,0.11775425
2016-12-22,0.1285355
2016-12-23,0.11120525
2016-12-24,0.047473
2016-12-25,0.0353395
2016-12-26,0.03417
2016-12-27,0.0606289999999999
2016-12-28,0.1013764999999999
2016-12-29,0.107162
2016-12-30,0.0921184999999999
2016-12-31,0.0610864999999999
2017-01-01,0.054888
2017-01-02,0.0926499999999999
2017-01-03,0.07643625
2017-01-04,0.078426
2017-01-05,0.128649
2017-01-06,0.1355332499999999
2017-01-07,0.093226
2017-01-08,0.09190625
2017-01-09,0.1445935
2017-01-10,0.1559712499999999
2017-01-11,0.0990627499999999
2017-01-12,0.09063075
2017-01-13,0.0884442499999999
2017-01-14,0.065947
2017-01-15,0.071172
2017-01-16,0.15751925
2017-01-17,0.16456975
2017-01-18,0.1613945
2017-01-19,0.161421
2017-01-20,0.1511337499999999
2017-01-21,0.1343702499999999
2017-01-22,0.10726425
2017-01-23,0.1594702499999999
2017-01-24,0.1817244999999999
2017-01-25,0.16368975
2017-01-26,0.12880075
2017-01-27,0.1266057499999999
2017-01-28,0.1037132499999999
2017-01-29,0.0799755
2017-01-30,0.1216962499999999
2017-01-31,0.1554687499999999
2017-02-01,0.12756725
2017-02-02,0.0988555
2017-02-03,0.10084125
2017-02-04,0.0710712499999999
2017-02-05,0.07182675
2017-02-06,0.13374725
2017-02-07,0.14166125
2017-02-08,0.1344877499999999
2017-02-09,0.1479397499999999
2017-02-10,0.123236
2017-02-11,0.0670792499999999
2017-02-12,0.0681612499999999
2017-02-13,0.10256525
2017-02-14,0.10186425
2017-02-15,0.114569
2017-02-16,0.10374425
2017-02-17,0.11899725
2017-02-18,0.07694
2017-02-19,0.0588029999999999
2017-02-20,0.0640384999999999
2017-02-21,0.06313875
